x_value,total_1,total_2
0,1000,1000
1,1001,999
2,1005,1000
3,1011,996
4,1015,1001
5,1019,997
6,1024,997
7,1028,997
8,1030,1000
9,1030,1000
10,1030,1006
11,1038,1010
12,1034,1008
13,1041,1009
14,1040,1015
15,1040,1016
16,1046,1016
17,1049,1021
18,1056,1016
19,1064,1016
20,1064,1021
21,1067,1020
22,1061,1021
23,1057,1023
24,1054,1027
25,1055,1033
26,1059,1038
27,1064,1041
28,1070,1047
29,1068,1051
30,1064,1053
31,1069,1051
32,1072,1051
33,1072,1049
34,1070,1047
35,1075,1047
36,1080,1045
37,1083,1042
38,1087,1043
39,1082,1045
40,1087,1050
41,1085,1056
42,1086,1052
43,1088,1053
44,1096,1050
45,1103,1048
46,1103,1053
47,1109,1051
48,1104,1055
49,1105,1060
50,1106,1056
51,1105,1056
52,1104,1058
53,1098,1060
54,1105,1055
55,1112,1055
56,1108,1053
57,1103,1050
58,1106,1049
59,1110,1048
60,1113,1048
61,1116,1046
62,1117,1041
63,1125,1046
64,1120,1047
65,1123,1048
66,1126,1049
67,1122,1050
68,1123,1046
69,1119,1046
70,1127,1044
71,1121,1046
72,1115,1044
73,1109,1047
74,1107,1049
75,1105,1055
76,1111,1061
77,1115,1059
78,1120,1061
79,1128,1060
80,1131,1060
81,1129,1060
82,1135,1063
83,1137,1062
84,1136,1065
85,1142,1068
86,1137,1067
87,1140,1064
